date,sp500,nikkei225,hangseng
2000-09-12,1481.99,16040.23,16629.8
2000-09-13,1484.91,16190.52,
2000-09-14,1480.87,16213.28,16395.4
2000-09-15,1465.81,,16249.5
2000-09-18,1444.51,16061.16,15560.2
2000-09-19,1459.9,16124.19,15677.2
2000-09-20,1451.34,16458.31,15665.6
2000-09-21,1449.05,16311.05,15164.5
2000-09-22,1448.72,15818.25,14612.9
2000-09-25,1439.03,15992.9,15429.0
2000-09-26,1427.21,15928.62,15290.8
2000-09-27,1426.57,15639.95,15444.1
2000-09-28,1458.29,15626.96,15415.8
2000-09-29,1436.51,15747.26,15649.0
2000-10-02,1436.23,15902.51,
2000-10-03,1426.46,15912.09,15726.0
2000-10-04,1434.32,16149.08,15878.9
2000-10-05,1436.28,16099.26,16184.7
2000-10-06,1408.99,15994.24,
2000-10-09,1402.03,,15693.5
2000-10-10,1387.02,15827.72,15535.9
2000-10-11,1364.59,15513.57,15127.0
2000-10-12,1329.78,15550.64,15074.8
2000-10-13,1374.17,15330.31,14680.5
2000-10-16,1374.62,15512.32,14973.4
2000-10-17,1349.97,15340.22,14873.4
2000-10-18,1342.13,14872.48,14458.5
2000-10-19,1388.76,14811.08,14422.5
2000-10-20,1396.93,15198.73,15044.5
2000-10-23,1395.78,15097.96,15102.4
2000-10-24,1398.13,15148.19,14925.9
2000-10-25,1364.9,14840.47,15061.1
2000-10-26,1364.44,14858.43,14996.2
2000-10-27,1379.58,14582.2,14902.5
2000-10-30,1398.66,14464.56,14799.9
2000-10-31,1429.4,14539.6,14895.3
2000-11-01,1421.22,14872.39,15349.0
2000-11-02,1428.32,14837.78,15291.5
2000-11-03,1426.69,,15594.1
2000-11-06,1432.19,15371.44,15671.2
2000-11-07,1431.87,15340.33,15820.8
2000-11-08,1409.28,15399.64,15654.1
2000-11-09,1400.14,15060.05,15504.8
2000-11-10,1365.98,14988.54,15389.4
2000-11-13,1351.26,14664.64,14815.7
2000-11-14,1382.95,14660.04,15177.5
2000-11-15,1389.81,14799.14,15127.4
2000-11-16,1372.32,14587.03,15298.3
2000-11-17,1367.72,14544.3,15180.8
2000-11-20,1342.62,14531.65,15346.7
2000-11-21,1347.35,14408.46,15188.3
2000-11-22,1322.36,14301.31,14772.5
2000-11-24,1341.77,14315.35,14376.9
2000-11-27,1348.97,14720.39,14602.8
2000-11-28,1336.09,14658.87,14566.2
2000-11-29,1341.93,14485.32,14169.1
2000-11-30,1314.95,14648.51,13984.4
2000-12-01,1315.23,14835.33,14441.4
2000-12-04,1324.97,14954.73,14559.2
2000-12-05,1376.54,14695.05,14573.2
2000-12-06,1351.46,14889.37,15099.0
2000-12-07,1343.55,14720.36,15011.5
2000-12-08,1369.89,14696.51,15189.3
2000-12-11,1380.2,15015.7,15408.5
2000-12-12,1371.18,15114.64,15329.6
2000-12-13,1359.99,15168.68,15621.7
2000-12-14,1340.93,14927.19,15497.0
2000-12-15,1312.15,14552.29,14975.5
2000-12-18,1322.74,14483.9,15024.5
2000-12-19,1305.6,14132.37,15188.0
2000-12-20,1264.74,13914.43,14930.7
2000-12-21,1274.86,13423.21,14659.3
2000-12-22,1305.95,13427.08,14738.2
2000-12-26,1315.19,14007.85,
2000-12-27,1328.92,13981.49,14748.4
2000-12-28,1334.22,13946.96,14796.5
2000-12-29,1320.28,13785.69,15095.5
2001-01-02,1283.27,,14869.9
2001-01-03,1347.56,,14589.6
2001-01-04,1333.34,13691.49,15235.0
2001-01-05,1298.35,13867.61,15447.6
2001-01-08,1295.86,,15436.5
2001-01-09,1300.8,13610.51,15500.6
2001-01-10,1313.27,13432.65,15435.8
2001-01-11,1326.82,13201.07,15090.8
2001-01-12,1318.55,13347.74,15295.4
2001-01-16,1326.65,13584.45,15363.2
2001-01-17,1329.47,13667.63,15261.5
2001-01-18,1347.97,13873.92,15528.8
2001-01-19,1342.54,13989.12,15933.5
2001-01-22,1342.9,14032.42,16099.3
2001-01-23,1360.4,13984.66,16044.2
2001-01-24,1364.3,13893.58,
2001-01-25,1357.51,13803.38,
2001-01-26,1354.95,13696.06,
2001-01-29,1364.17,13845.28,16099.8
2001-01-30,1373.73,13826.65,15893.1
2001-01-31,1366.01,13843.55,16102.3
2001-02-01,1373.47,13779.55,16164.0
2001-02-02,1349.47,13703.63,16071.3
2001-02-05,1354.31,13385.52,15830.8
2001-02-06,1352.26,13269.85,15913.2
2001-02-07,1340.89,13366.01,16049.5
2001-02-08,1332.53,13138.23,15909.4
2001-02-09,1314.76,13422.83,15873.3
2001-02-12,1330.31,,15693.1
2001-02-13,1318.8,13274.7,15842.7
2001-02-14,1315.92,13284.06,15860.4
2001-02-15,1326.61,13327.39,15756.4
2001-02-16,1301.53,13175.49,15630.3
2001-02-20,1278.94,13248.36,15527.4
2001-02-21,1255.27,13100.08,15351.5
2001-02-22,1252.82,13073.36,15098.6
2001-02-23,1245.86,13246.0,15280.6
2001-02-26,1267.65,13201.14,15230.2
2001-02-27,1257.94,13059.86,14834.7
2001-02-28,1239.94,12883.54,14787.9
2001-03-01,1241.23,12653.23,14360.6
2001-03-02,1234.18,12261.8,13966.4
2001-03-05,1241.41,12322.16,14135.3
2001-03-06,1253.8,12687.74,14321.0
2001-03-07,1261.89,12723.89,
2001-03-08,1264.74,12650.56,14209.0
2001-03-09,1233.42,12627.9,14194.3
2001-03-12,1180.16,12171.37,13776.7
2001-03-13,1197.66,11819.7,13493.0
2001-03-14,1166.71,11843.59,13330.8
2001-03-15,1173.56,12152.83,13504.2
2001-03-16,1150.53,12232.98,13522.0
2001-03-19,1170.81,12190.97,13457.7
2001-03-20,1142.62,,13223.9
2001-03-21,1122.14,13103.94,
2001-03-22,1117.58,12853.97,12621.8
2001-03-23,1139.83,13214.54,12583.4
2001-03-26,1152.69,13862.31,12950.5
2001-03-27,1182.17,13638.33,12707.9
2001-03-28,1153.29,13765.51,12851.4
2001-03-29,1147.95,13072.36,12677.9
2001-03-30,1160.33,12999.7,12760.6
2001-04-02,1145.87,12937.86,12727.3
2001-04-03,1106.46,13124.47,12584.2
